performance_id,dog_id,trick_id,proficiency_level,last_practiced
169,88,1,Tail-wagging Good,2024-04-10
170,69,15,So-So,2024-02-29
171,97,20,Fetching Fantastic,2023-11-15
172,35,19,Fetching Fantastic,2023-12-13
173,99,4,Fetching Fantastic,2023-06-18
174,83,3,So-So,2024-12-28
175,44,18,So-So,2024-04-07
176,15,7,Paw-some,2024-09-09
177,38,17,Paw-some,2025-03-23
178,56,9,Fetching Fantastic,2023-08-25
179,21,5,So-So,2024-10-18
180,59,12,So-So,2023-08-09
181,1,3,Tail-wagging Good,2024-06-11
182,93,8,Fetching Fantastic,2024-03-21
183,93,12,Paw-some,2023-08-01
184,34,10,Tail-wagging Good,2024-04-19
185,65,6,So-So,2023-10-25
186,98,15,Paw-some,2023-07-25
187,23,18,Fetching Fantastic,2023-09-20
188,65,10,So-So,2024-08-31
189,14,20,Fetching Fantastic,2025-02-03
190,81,17,Tail-wagging Good,2023-09-17
191,39,1,Tail-wagging Good,2024-08-07
192,82,18,Tail-wagging Good,2024-12-08
193,65,10,Needs More Treats,2023-07-04
194,78,4,Fetching Fantastic,2024-11-19
195,26,5,Tail-wagging Good,2023-07-25
196,20,9,Tail-wagging Good,2023-05-20
197,48,4,Fetching Fantastic,2024-05-02
198,98,4,Tail-wagging Good,2025-04-02
199,21,18,Fetching Fantastic,2023-10-01
200,70,5,So-So,2023-12-21
